restaurant,city,menu_type,category,dish,price,description,tags
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Japanse kip slider,13.50,"kip karaage, coleslaw, rode ui, rode peper, bosui, taugé, gedroogde uitjes en srirachasaus",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje Provençaal,12.75,"rode ui, prei, champignons, Provençaalse kruiden en geitenkaas",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje gegrilde halloumi & pompoen,13.25,"sla, halloumi, pompoen en pesto, geserveerd op een flatbread",
De Dikke van Dale,Leeuwarden,Lunch,Warme Broodjes,Broodje Dikke van Dale,14.75,"sla, biefstukpuntjes, sesamzaadjes, teriyakisaus, rode ui en tomaat",
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,Uitsmijter met ham en/of kaas,12.75,,
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,"Boerenomelet – gebakken groenten, kaas en spek",13.75,,
De Dikke van Dale,Leeuwarden,Lunch,Eiergerechten,Uitsmijter zalm,15.75,,
De Dikke van Dale,Leeuwarden,Lunch,Plates,"Saté van kippendijen – satésaus, cassave en atjar",22.00,,
De Dikke van Dale,Leeuwarden,Lunch,Plates,Fish and chips – in beslag gefrituurde kabeljauwfilet geserveerd met ravigottesaus,22.00,,
De Dikke van Dale,Leeuwarden,Dinner,Soepen,Mosterdsoep -,7.25,geserveerd met Friese droge worst en bosui,
De Dikke van Dale,Leeuwarden,Dinner,Soepen,Pompoensoep,7.25,"geserveerd met crème fraîche, pompoenpitten en bosui",
De Dikke van Dale,Leeuwarden,Dinner,Salades,Caesar salade,17.25,"little gem, chicken dippers, Parmezaanse kaas, gekookt ei, croutons, bacon en caesardressing",
De Dikke van Dale,Leeuwarden,Dinner,Salades,Salade beef teriyaki,17.50,"sla, biefstukpuntjes, rode ui, peultjes, cherrytomaat, sesamzaadjes en teriyakisaus",
De Dikke van Dale,Leeuwarden,Dinner,Voorgerechten,Broodplankje,7.25,met diverse smeersels,
